OBJECTID,Name,Class,State Abbreviation,State FIPS,Place FIPS,2020 Total Population,Population Class,People per square mile,Area in square miles,Capital,x,y
1,Alabaster,city,AL,01,0100820,33284,6,1300.7,25.59,,-86.81782028,33.24449771
2,Albertville,city,AL,01,0100988,22386,6,827.9,27.04,,-86.21204768,34.26420844
3,Alexander City,city,AL,01,0101132,14843,6,337.4,43.99,,-85.95631375,32.94309415
4,Anniston,city,AL,01,0101852,21564,6,469.9,45.89,,-85.81985578,33.65650068
5,Athens,city,AL,01,0102956,25406,6,625.8,40.6,,-86.95079503,34.78483769
6,Atmore,city,AL,01,0103004,8391,5,382.5,21.94,,-87.49009397,31.02225915
7,Auburn,city,AL,01,0103076,76143,7,1234.5,61.68,,-85.48998923,32.60690652
8,Bessemer,city,AL,01,0105980,26019,6,641.8,40.54,,-86.95629748,33.40091846
9,Birmingham,city,AL,01,0107000,200733,8,1342.2,149.55,,-86.79647401,33.52880084
10,Calera,city,AL,01,0111416,16494,6,674,24.47,,-86.74549128,33.12440283
11,Center Point,city,AL,01,0113264,16406,6,2637.6,6.22,,-86.6835185,33.64308883
12,Chelsea,city,AL,01,0114104,14982,6,619.1,24.2,,-86.62991075,33.34338269
13,Cullman,city,AL,01,0118976,18213,6,793.2,22.96,,-86.84323,34.16090413
14,Daphne,city,AL,01,0119648,27462,6,1437.8,19.1,,-87.9004015,30.62005239
15,Decatur,city,AL,01,0120104,57938,7,952,60.86,,-86.98152827,34.60362365
16,Dothan,city,AL,01,0121184,71072,7,788.4,90.15,,-85.40705829,31.23349546
17,Enterprise,city,AL,01,0124184,28711,6,925.6,31.02,,-85.84590772,31.32760085
18,Eufaula,city,AL,01,0124568,12882,6,175.3,73.48,,-85.15049713,31.9102409
19,Fairfield,city,AL,01,0125120,10000,6,2890.2,3.46,,-86.91933864,33.47469582
20,Fairhope,city,AL,01,0125240,22477,6,1548,14.52,,-87.902957,30.52425307
21,Florence,city,AL,01,0126896,40184,6,1503.3,26.73,,-87.67092461,34.80070195
22,Foley,city,AL,01,0126992,20335,6,623.2,32.63,,-87.66341234,30.3988863
23,Fort Payne,city,AL,01,0127616,14877,6,262.1,56.76,,-85.69536961,34.45594374
24,Gadsden,city,AL,01,0128696,33945,6,878,38.66,,-86.01536374,34.00872578
25,Gardendale,city,AL,01,0129056,16044,6,698.2,22.98,,-86.8105255,33.65622737
26,Gulf Shores,city,AL,01,0132272,15014,6,505.5,29.7,,-87.66474525,30.26439027
27,Hartselle,city,AL,01,0133448,15455,6,925.4,16.7,,-86.93967722,34.43926592
28,Helena,city,AL,01,0134024,20914,6,934.5,22.38,,-86.84955225,33.28917143
29,Homewood,city,AL,01,0135800,26414,6,3170.9,8.33,,-86.80919035,33.46168626
30,Hoover,city,AL,01,0135896,92606,7,1888.8,49.03,,-86.80424998,33.38750872
31,Hueytown,city,AL,01,0136448,16776,6,845.6,19.84,,-86.99546241,33.44194144
32,Huntsville,city,AL,01,0137000,215006,8,979.3,219.56,,-86.58347818,34.72764295
33,Irondale,city,AL,01,0137864,13497,6,772.1,17.48,,-86.70535967,33.53715313
34,Jacksonville,city,AL,01,0138272,14385,6,1317.3,10.92,,-85.75416473,33.8085527
35,Jasper,city,AL,01,0138416,14572,6,491.3,29.66,,-87.2829355,33.83655111
36,Leeds,city,AL,01,0141968,12324,6,536.1,22.99,,-86.56390624,33.54222406
37,Madison,city,AL,01,0145784,56933,7,1867.3,30.49,,-86.74233525,34.71457434
38,Millbrook,city,AL,01,0148712,16564,6,1148.7,14.42,,-86.36564036,32.48474887
39,Mobile,city,AL,01,0150000,187041,8,1305.3,143.29,,-88.05143433,30.68527017
40,Montgomery,city,AL,01,0151000,200603,8,1236.2,162.27,State,-86.30336322,32.37789746
41,Moody,city,AL,01,0151096,13170,6,530.2,24.84,,-86.49720576,33.59798067
42,Mountain Brook,city,AL,01,0151696,22461,6,1749.3,12.84,,-86.74024394,33.48689513
43,Muscle Shoals,city,AL,01,0153016,16275,6,967.6,16.82,,-87.63388128,34.74346098
44,Northport,city,AL,01,0155200,31125,6,1743.7,17.85,,-87.576414,33.24017171
45,Opelika,city,AL,01,0157048,30995,6,515.9,60.08,,-85.3770183,32.66239371
46,Oxford,city,AL,01,0157576,22069,6,685.8,32.18,,-85.83340632,33.61366649
47,Ozark,city,AL,01,0157648,14368,6,418.4,34.34,,-85.64654914,31.44860281
48,Pelham,city,AL,01,0158848,24318,6,618.3,39.33,,-86.80811797,33.28502442
49,Pell City,city,AL,01,0158896,12939,6,466.3,27.75,,-86.28505664,33.58711858
50,Phenix City,city,AL,01,0159472,38816,6,1374,28.25,,-85.02248108,32.45566482
51,Prattville,city,AL,01,0162328,37781,6,1041.1,36.29,,-86.46003076,32.46011028
52,Prichard,city,AL,01,0162496,19322,6,757.4,25.51,,-88.0815639,30.73547891
53,Saks,Census Designated Place,AL,01,0167608,9956,5,814.7,12.22,,-85.8537326,33.71190814
54,Saraland,city,AL,01,0168160,16171,6,499.6,32.37,,-88.07249265,30.80792827
55,Scottsboro,city,AL,01,0168736,15578,6,271.4,57.4,,-86.09105291,34.68472742
56,Selma,city,AL,01,0169120,17971,6,1248,14.4,,-87.03358696,32.41659573
57,Sylacauga,city,AL,01,0174352,12578,6,616.3,20.41,,-86.26367097,33.17195359
58,Talladega,city,AL,01,0174592,15861,6,607,26.13,,-86.09768858,33.43287325
59,Tillmans Corner,Census Designated Place,AL,01,0176320,17731,6,1360.8,13.03,,-88.17000975,30.58847111
60,Troy,city,AL,01,0176920,17727,6,623.8,28.42,,-85.96518334,31.80192623
61,Trussville,city,AL,01,0176944,26123,6,742.6,35.18,,-86.60603635,33.62425486
62,Tuscaloosa,city,AL,01,0177256,99600,7,1383.9,71.97,,-87.56291679,33.20731719
63,Vestavia Hills,city,AL,01,0178552,39102,6,1935.7,20.2,,-86.78408595,33.433188
64,Anchorage,municipality,AK,02,0203000,291247,9,168,1734.06,,-149.8679026,61.21870115
65,Badger,Census Designated Place,AK,02,0205000,19031,6,285.3,66.7,,-147.48156,64.82474557
66,College,Census Designated Place,AK,02,0216750,11332,6,592.7,19.12,,-147.8215729,64.86927542
67,Fairbanks,city,AK,02,0224230,32515,6,996.8,32.62,,-147.7216875,64.84632578
68,Juneau,city and borough,AK,02,0236400,32255,6,11.5,2815.09,State,-134.4087478,58.30193978
69,Knik-Fairview,Census Designated Place,AK,02,0240645,19297,6,259.2,74.44,,-149.633443,61.52233362
70,Anthem,Census Designated Place,AZ,04,0402430,23190,6,2935.4,7.9,,-112.1169994,33.85595394
71,Apache Junction,city,AZ,04,0402830,38499,6,1097.5,35.08,,-111.5577478,33.40095017
72,Arizona City,Census Designated Place,AZ,04,0403530,9868,5,1589,6.21,,-111.6707902,32.75062462
73,Avondale,city,AZ,04,0404720,89334,7,1879.1,47.54,,-112.3429055,33.43768561
74,Buckeye,city,AZ,04,0407940,91502,7,232.7,393.15,,-112.5865152,33.37003528
75,Bullhead City,city,AZ,04,0408220,41348,6,687.4,60.15,,-114.5861044,35.11411708
76,Camp Verde,town,AZ,04,0409690,12147,6,286.8,42.36,,-111.8628925,34.57193999
77,Casa Grande,city,AZ,04,0410530,53658,7,484,110.87,,-111.7612355,32.89780588
78,Casas Adobes,Census Designated Place,AZ,04,0410670,70973,7,2653.2,26.75,,-111.01117,32.34228797
79,Catalina Foothills,Census Designated Place,AZ,04,0411230,52401,7,1250,41.92,,-110.9148072,32.29829836
80,Chandler,city,AZ,04,0412000,275987,9,4221.9,65.37,,-111.863762,33.29481186
81,Chino Valley,town,AZ,04,0412840,13020,6,208.4,62.48,,-112.4513837,34.76164398
82,Coolidge,city,AZ,04,0415500,13218,6,173,76.42,,-111.526921,32.96879725
83,Cottonwood,city,AZ,04,0416410,12029,6,724.6,16.6,,-112.0272955,34.73798116
84,Douglas,city,AZ,04,0420050,16534,6,1656.7,9.98,,-109.538486,31.34599906
85,Drexel Heights,Census Designated Place,AZ,04,0420540,27523,6,1431.3,19.23,,-111.0488723,32.14462532
86,El Mirage,city,AZ,04,0422220,35805,6,3598.5,9.95,,-112.3271416,33.59050379
87,Eloy,city,AZ,04,0422360,15635,6,137.6,113.63,,-111.5546996,32.75337715
88,Flagstaff,city,AZ,04,0423620,76831,7,1162.5,66.09,,-111.6583948,35.17249661
89,Florence,town,AZ,04,0423760,26785,6,427.5,62.66,,-111.3835284,33.03124779
90,Flowing Wells,Census Designated Place,AZ,04,0423960,15657,6,4109.4,3.81,,-111.0097119,32.29334844
91,Fort Mohave,Census Designated Place,AZ,04,0424895,16190,6,969.5,16.7,,-114.5857535,35.00429212
92,Fortuna Foothills,Census Designated Place,AZ,04,0425030,27776,6,693,40.08,,-114.3975298,32.66159184
93,Fountain Hills,town,AZ,04,0425300,23820,6,1169.4,20.37,,-111.7397597,33.60719711
94,Gilbert,town,AZ,04,0427400,267918,9,3895.9,68.77,,-111.787167,33.33289254
95,Glendale,city,AZ,04,0427820,248325,8,4005.2,62,,-112.1901463,33.53341923
96,Goodyear,city,AZ,04,0428380,95294,7,498.1,191.33,,-112.3637497,33.43910454
97,Green Valley,Census Designated Place,AZ,04,0429710,22616,6,1134.8,19.93,,-110.9963296,31.87956287
98,Kingman,city,AZ,04,0437620,32689,6,870.5,37.55,,-114.0537813,35.18942811
99,Lake Havasu City,city,AZ,04,0439370,57144,7,1232.1,46.38,,-114.343995,34.47523425
100,Marana,town,AZ,04,0444270,51908,7,426.2,121.78,,-111.2228815,32.4338567
101,Maricopa,city,AZ,04,0444410,58125,7,1365.7,42.56,,-112.0441482,33.05823491
102,Mesa,city,AZ,04,0446000,504258,10,3617.1,139.41,,-111.816324,33.42270775
103,New Kingman-Butler,Census Designated Place,AZ,04,0449270,12907,6,2597,4.97,,-114.008214,35.26119176
104,New River,Census Designated Place,AZ,04,0449360,17290,6,308,56.14,,-112.1405146,33.91532969
105,Nogales,city,AZ,04,0449640,19770,6,949.1,20.83,,-110.9336297,31.36247988
106,Oro Valley,town,AZ,04,0451600,47070,6,1345.2,34.99,,-110.9765815,32.42261049
107,Paradise Valley,town,AZ,04,0452930,12658,6,821.4,15.41,,-111.9426847,33.53262293
